framework,element,requirement,gaia_output
UN SDG 6 — Clean water and sanitation,Target 6.4,Substantially increase water-use efficiency across all sectors,"Water intensity per functional unit (L/request, L/1M tokens) from the two-path model; trend across periods in the Usage Log"
UN SDG 7 — Affordable and clean energy,Target 7.3,Double the global rate of improvement in energy efficiency,"The A–E grade is an energy-intensity rating per task class; Module A' intensity-reduction targets track 7.3 directly"
UN SDG 7 — Affordable and clean energy,Target 7.2,Increase the share of renewable energy,"Market-based CI input and the low-carbon-region lever document the renewable share of AI electricity"
UN SDG 8 — Decent work and economic growth,Target 8.4,Improve resource efficiency; decouple growth from environmental degradation,"Rates-before-totals (P4): footprint per task outcome (R4) is a decoupling metric — AI output vs. resources consumed"
UN SDG 9 — Industry innovation and infrastructure,Target 9.4,Upgrade infrastructure for sustainability and resource-use efficiency,"Mitigation levers 1, 2, 8 (right-sizing, reasoning budgets, newer accelerators) with measured effect sizes"
UN SDG 12 — Responsible consumption and production,Target 12.2,Sustainable management and efficient use of natural resources,"The full Ground→Assess inventory: an auditable account of energy and water consumed by AI use"
UN SDG 12 — Responsible consumption and production,Target 12.6,Encourage companies to integrate sustainability information into reporting,"The GAIA disclosure template (FRAMEWORK.md §8), designed to feed GRI/ESRS/IFRS reports"
UN SDG 13 — Climate action,Targets 13.2 / 13.3,Integrate climate measures into policies and planning; improve capacity,"Dual-reported carbon totals and intensities; evidence-ranked reduction plan; SCI/GHGP restatement"
GRI Standards,GRI 302-1,Energy consumption within the organization,"Monthly kWh of self-hosted AI (E_month)"
GRI Standards,GRI 302-2,Energy consumption outside the organization,"Monthly kWh of API/cloud AI use"
GRI Standards,GRI 302-3,Energy intensity,"Wh per functional unit (R1–R4)"
GRI Standards,GRI 302-4,Reduction of energy consumption,"Before/after intensity from the mitigation plan"
GRI Standards,GRI 303-5,Water consumption,"On-site path (E_IT × WUE) for owned facilities; two-path total as value-chain context"
GRI Standards,GRI 305-2,Energy indirect (Scope 2) GHG emissions,"Location- AND market-based carbon of self-hosted deployments, reported separately as GRI requires"
GRI Standards,GRI 305-3,Other indirect (Scope 3) GHG emissions,"API-use carbon (categories 1/11 logic per arXiv:2606.10660) plus the embodied adder"
GRI Standards,GRI 305-4,GHG emissions intensity,"kg CO2e per functional unit"
ESRS (CSRD),E1-5,Energy consumption and mix,"E_month split by deployment path; market CI documents the mix claim"
ESRS (CSRD),E1-6,Gross Scopes 1–3 GHG emissions,"Both Scope-2 methods required by ESRS are native to GAIA (P6 dual reporting)"
ESRS (CSRD),E1-4,Targets related to climate change,"Intensity-reduction targets from Module A'"
ESRS (CSRD),E3-4,Water consumption,"Two-path water total with the on-site/off-site split"
IFRS S2 (ISSB),Cross-industry metrics,"Scopes 1–3, entity-specific metrics","GAIA totals as the AI contribution to Scope 2/3; per-FU intensities as entity-specific metrics"
CDP,Climate & water questionnaires,Quantitative fields + methodology disclosure,"Carbon and water modules populate the fields; the data-quality statement answers methodology questions honestly"
SBTi,Near-term Scope 2/3 targets,Validated absolute or intensity trajectories,"GAIA supplies the AI-use baseline and tracks intensity; totals feed target-setting (grades are not targets)"
EU AI Act,"Art. 40/51, Annex XI",GPAI energy documentation,"Disclosure-template provider fields accept Annex XI data as it becomes available"
UN Global Compact,Principles 7–9,"Precaution, environmental responsibility, clean technology","The GAIA report evidences Principle 7 (precautionary quantification) and 9 (diffusion of efficient technology via the lever catalogue)"
